iteration,avg_loss
10,2.854497129266912
20,2.7092509984970095
30,2.5579777002334594
40,2.8122850894927978
50,2.645680332183838
60,2.4355873107910155
70,3.0472652196884153
80,3.1081821441650392
90,2.9125540018081666
100,2.8086628913879395
110,2.62745361328125
120,2.355129837989807
130,3.0376543283462523
140,2.8574790716171266
150,2.606907534599304
160,3.017099404335022
170,3.012046957015991
180,2.7547023057937623
190,3.2446982622146607
200,2.9435845851898192
210,2.639643406867981
220,3.1204864501953127
230,2.920660138130188
240,2.6066044569015503
250,2.8623489856719972
260,3.063482904434204
270,2.7647812128067017
280,2.599042010307312
290,3.42555570602417
300,3.1491231679916383
310,3.1054138422012327
320,3.358026909828186
330,3.0809581518173217
340,2.8108100652694703
350,3.3824511051177977
360,3.3504740953445435
370,3.0190438270568847
380,3.4411191940307617
390,3.1639910459518434
400,3.0882392644882204
410,3.153713059425354
420,2.8154182910919188
430,3.1016684055328367
440,3.0417370319366457
450,2.6816473484039305
460,3.2369855880737304
470,3.0872016668319704
480,2.6797033071517946
490,2.480304980278015
500,2.787819480895996
510,2.391242790222168
520,2.123160994052887
530,2.3215479135513304
540,1.9546438574790954
550,2.2611735582351686
560,2.991687846183777
570,2.5498651027679444
587,3.1959967613220215
597,2.7749426126480103
607,2.3254621028900146
617,3.1246963500976563
627,2.7409297466278075
637,2.2762449741363526
647,3.0119878530502318
657,2.9919418573379515
667,2.5638314485549927
677,2.709886145591736
687,2.455339479446411
697,2.1113171219825744
707,2.974993920326233
717,2.7074989080429077
727,2.3722016334533693
737,3.071151876449585
747,3.1845358848571776
757,2.9286064863204957
767,3.0843923807144167
777,2.6971892595291136
787,2.3512524604797362
797,2.6119503021240233
807,2.250929665565491
817,1.7579782605171204
827,2.2910027146339416
837,2.7981471538543703
847,2.380438137054443
857,2.1162843704223633
867,3.485913705825806
877,2.908119034767151
887,2.774583625793457
897,2.7525373220443727
907,2.512222146987915
917,2.2567869663238525
927,2.632482171058655
937,2.5981168508529664
947,2.28388934135437
957,2.7865667819976805
967,2.5336305141448974
977,2.504635286331177
987,2.7004714965820313
997,2.352918338775635
1007,2.6382106065750124
1017,2.6178893089294433
1027,2.251573586463928
1037,2.858465552330017
1047,2.710077691078186
1057,2.2713266372680665
1067,2.1728511691093444
1077,3.194355916976929
1087,2.775179886817932
1097,2.5611317634582518
1107,3.235720419883728
1117,2.8133690118789674
1127,2.8612396001815794
1137,3.2210368871688844
1147,2.778297781944275
1164,3.650077451359142
1174,3.2386478662490843
1184,2.8071458101272584
1194,3.562078094482422
1204,3.216168689727783
1214,2.78947491645813
1224,3.2530861616134645
1234,3.1986053705215456
1244,2.84175968170166
1254,3.1022119760513305
1264,2.997003269195557
1274,2.6267181634902954
1284,3.147329568862915
1294,2.8804415464401245
1304,2.4940287113189696
1314,3.131123185157776
1324,3.18041307926178
1334,2.867615056037903
1344,3.2022420883178713
1354,2.9767391443252564
1364,2.650934338569641
1374,3.4302989721298216
1384,3.271830987930298
1394,2.949404549598694
1404,2.994437336921692
1414,3.0413205862045287
1424,2.763761305809021
1434,2.589691925048828
1444,3.2759436845779417
1454,3.059592914581299
1464,2.9242457866668703
1474,2.9281760454177856
1484,2.6643327951431273
1494,2.3808730840682983
1504,2.904273819923401
1514,2.902542495727539
1524,2.5769309043884276
1534,2.8437368631362916
1544,2.550226092338562
1554,2.6187362909317016
1564,3.0154038190841677
1574,2.6617472887039186
1584,2.9596055507659913
1594,2.940157723426819
1604,2.5793059825897218
1614,3.3315975427627564
1624,3.26421377658844
1634,2.8962822198867797
1644,2.7808650970458983
1654,3.504590964317322
1664,3.1746710777282714
1674,2.98145112991333
1684,3.3930979490280153
1694,3.077407884597778
1704,3.0668683528900145
1714,3.261669135093689
1724,2.922855758666992
1741,3.220881635492498
1751,2.9897614240646364
1761,2.733347702026367
1771,3.131630039215088
1781,2.9090593576431276
1791,2.6145233869552613
1801,3.0298992872238157
1811,3.0262817621231077
1821,2.760270357131958
1831,2.909410834312439
1841,2.818637323379517
1851,2.5220794439315797
1861,3.050203466415405
1871,2.8413847208023073
1881,2.5174240112304687
1891,3.023776054382324
1901,3.0769012689590456
1911,2.8331563234329225
1921,3.2857131958007812
1931,3.1064065217971804
1941,2.820201587677002
1951,3.156167483329773
1961,3.020212268829346
1971,2.7767226457595826
1981,2.883265829086304
1991,2.9747512340545654
2001,2.729427695274353
2011,2.5785653352737428
2021,3.308677053451538
2031,3.1018229722976685
2041,2.9983302116394044
2051,3.053453516960144
2061,2.776095819473267
2071,2.473372554779053
2081,2.991577124595642
2091,3.01556978225708
2101,2.7257273197174072
