#Accuracy 0.9574574574574575
i,time,loss,ground_time,compile_time,eval_time
10,5.554613351821899,2.7206279881298543,0.01121468424797058,0.004107186794281007,0.008048936128616332
20,11.712088108062744,2.67634539604187,0.012523061037063594,0.004530344009399416,0.008898985385894774
30,17.687390565872192,2.430575928092003,0.011273829936981195,0.004511847496032718,0.009159708023071294
40,23.943768739700317,2.072080947831273,0.012889378070831303,0.00450859308242798,0.009033613204956053
50,30.248108863830566,1.9073792410083115,0.013166276216506961,0.004490430355072021,0.008999235630035404
60,36.13245749473572,1.6041076024062932,0.011163651943206787,0.004518558979034427,0.008911088705062865
70,42.578842639923096,1.5120235323905944,0.01361412644386292,0.004483792781829835,0.009081734418869019
80,48.52550792694092,1.3133365706307814,0.011222326755523681,0.0044994807243347165,0.009107133150100713
90,54.44969415664673,1.1421344115398824,0.011161615848541261,0.004529966115951538,0.009052886962890623
100,60.91288995742798,0.978945555887185,0.014106985330581672,0.004452395439147947,0.008866254091262826
110,66.8009307384491,0.949367146345321,0.011168825626373296,0.004502867460250854,0.008868120908737185
120,73.39642310142517,0.9839849069248885,0.014592765569686889,0.004482306241989139,0.009008259773254396
130,79.34498572349548,0.9928636368480511,0.011248177289962767,0.0044953358173370345,0.009075458049774167
140,85.25111246109009,0.8048189422814176,0.011168878078460695,0.004465212821960452,0.008966497182846069
150,91.15064024925232,0.7131362963700667,0.011100522279739383,0.004484395980834959,0.008988295793533321
160,97.91557431221008,0.7321007797087077,0.015430940389633167,0.004519202709197997,0.009004939794540411
170,103.83545017242432,0.7431810764945113,0.01119869589805603,0.004499692916870116,0.008985428810119628
180,109.75191736221313,0.7238221935695037,0.011182887554168706,0.004471837282180787,0.008945015668869016
190,115.63478589057922,0.7437143414979801,0.011146982908248903,0.00449794292449951,0.008849620819091793
200,122.66081404685974,0.7218533369770739,0.016328303813934318,0.004511623382568359,0.009199845790863031
210,128.5803484916687,0.6914799650898203,0.01120044589042664,0.0044912397861480696,0.008993300199508667
220,134.4988989830017,0.5337257196893915,0.011149084568023679,0.00449106454849243,0.008929635286331174
230,140.38401079177856,0.6489432087983005,0.011146748065948484,0.004490525722503665,0.008912744522094727
240,147.5271337032318,0.6647032691515051,0.017420856952667256,0.0044842970371246375,0.008899098634719849
250,153.5003650188446,0.6998347884917167,0.0113366413116455,0.004535675048828125,0.00901933193206787
260,159.38038778305054,0.5918877190561034,0.011201754808425907,0.004500722885131836,0.008735128641128543
270,165.31633305549622,0.5741636480554007,0.011224015951156616,0.004557065963745117,0.008975641727447515
280,171.2372419834137,0.525934281462105,0.011201137304306032,0.004550383090972899,0.00891052961349487
290,177.23309326171875,0.5761088099563494,0.01124760746955871,0.004587473869323728,0.009166195392608645
300,184.707843542099,0.5270681075111497,0.01878895759582519,0.004548922777175909,0.00907668471336365
310,190.66571259498596,0.44515692442364524,0.011268619298934936,0.004541759490966796,0.009076259136199952
320,196.5505518913269,0.5055537752079544,0.011195513010025028,0.004475876092910769,0.008766689300537105
330,202.52575635910034,0.4478537002985831,0.011272681951522824,0.004543733596801759,0.00911298513412476
340,208.46488666534424,0.5741717291995883,0.011214517354965214,0.004497542381286622,0.008932709693908688
350,214.44677782058716,0.5091811714402865,0.011227529048919683,0.004516922235488889,0.009137665033340462
360,222.21043610572815,0.339547622797545,0.02017216682434082,0.0045173454284667975,0.009056805372238155
370,228.19100332260132,0.5451613698358415,0.011538429260253908,0.004509518146514891,0.008868333101272578
380,234.07816863059998,0.3936283561575692,0.011240379810333254,0.004471555948257446,0.008804857730865482
390,240.03220319747925,0.44998142501572147,0.011235610246658326,0.004548269510269164,0.00903122663497925
400,246.03157377243042,0.5265426155965542,0.011270003318786618,0.004545261859893797,0.00918534517288208
410,251.90385627746582,0.33838978898129424,0.011204812526702886,0.004473979473114011,0.008723853826522831
420,258.0334713459015,0.5095272618636955,0.011248452663421627,0.0045461940765380866,0.009106177091598507
430,263.95729756355286,0.4397134123646538,0.011221750974655161,0.004515665769577027,0.00893566966056824
440,272.0379493236542,0.4352307389228372,0.021939668655395504,0.00451020121574402,0.009009470939636239
450,278.0216794013977,0.5593891019918373,0.011525876522064212,0.004528063535690307,0.008913942575454718
460,284.0049057006836,0.5566638806049014,0.011264657974243168,0.004517167806625367,0.008828982114791871
470,289.85615038871765,0.5458775006030919,0.011182515621185298,0.0044847583770751985,0.008738386631011966
480,295.7481949329376,0.4410699439264135,0.011246148347854618,0.004503990411758424,0.008826161623001101
490,301.66765689849854,0.4932161560456734,0.011215182542800907,0.004525582790374757,0.008881363868713379
500,307.55279326438904,0.34544044198992196,0.01120898127555847,0.004478307962417603,0.008849025964736936
510,313.43951392173767,0.49771637660742274,0.011209369897842403,0.004507325887680053,0.008815962076187133
520,319.3552098274231,0.4745789758511819,0.01116938471794129,0.004530845880508423,0.008877533674240113
530,325.2265832424164,0.41044462006248067,0.011228592395782474,0.0045289993286132795,0.00871307611465454
540,333.89619398117065,0.47844616919755933,0.02480538606643675,0.004576230049133303,0.009019025564193726
550,339.84674620628357,0.4396108678658493,0.011483569145202637,0.004525673389434814,0.008840411901473996
560,345.78709602355957,0.4222724941559136,0.011238894462585457,0.004510324001312257,0.008933752775192266
570,351.7164545059204,0.33841343023232184,0.011236269474029541,0.004548012018203729,0.00895679473876953
580,578.0860352516174,0.2593972926813876,0.011271429061889649,0.004526320695877075,0.008762853145599367
590,580.6333568096161,0.2885085745423567,0.011243895292282102,0.004503430128097537,0.007854506969451905
600,583.1599802970886,0.3884627292427467,0.020137690305709832,0.004478567838668822,0.007752857208251954
610,585.6613464355469,0.32644154399749825,0.01122694253921509,0.004483650922775272,0.007673417329788207
620,588.1588687896729,0.3688338048668811,0.011242778301239006,0.004508342742919924,0.007718600034713742
630,590.6815247535706,0.34619905800209383,0.011231504678726188,0.004502931833267212,0.007721425294876098
640,593.1887590885162,0.36448561293509557,0.011249198913574213,0.004513261318206791,0.007728241682052615
650,595.6909439563751,0.3681966026852024,0.011254880428314212,0.004497648477554321,0.007735320329666133
660,598.1957738399506,0.36161263093381424,0.024416956901550286,0.004475656747817991,0.007660832405090336
670,600.6783051490784,0.3357176370162051,0.011266599893569946,0.004502029418945311,0.007663296461105346
680,603.2003879547119,0.3482975594481104,0.011246501207351687,0.004517961740493775,0.00777358412742615
690,605.7028369903564,0.33900810061604714,0.011239887475967403,0.004503471851348877,0.007716631889343262
700,608.22119307518,0.31980247800165673,0.01124403715133667,0.00453085660934448,0.007759552001953121
710,610.7223169803619,0.3986685984506039,0.012268712520599367,0.004490950107574463,0.007711124420166011
720,613.2317891120911,0.25162922446615993,0.015410295724868775,0.004547945261001588,0.0077609324455261185
730,615.799863576889,0.2792620637221262,0.013638528585433957,0.004522503614425656,0.007819241285324094
740,618.3521885871887,0.3740071777632693,0.01126004219055176,0.0045319902896881125,0.007798719406127927
750,620.9036087989807,0.23641506399872014,0.011251310110092162,0.004503751993179322,0.007647076845169065
760,623.4713134765625,0.24021483998731127,0.011255786418914799,0.004526187181472779,0.007721638679504395
770,626.0234413146973,0.2716214548738208,0.011251301765441906,0.004518924951553345,0.0075981450080871565
780,628.563570022583,0.30210492784317466,0.011248699426651,0.004519975185394286,0.007630760669708253
790,631.060574054718,0.34136969207174844,0.011250309944152836,0.004507578611373902,0.0076041293144226115
800,633.5345780849457,0.3237893071884173,0.011223927736282351,0.004497356414794922,0.007609691619873046
810,636.0285708904266,0.4273058259379468,0.012794727087020872,0.004505380392074588,0.007607102394104002
820,638.547607421875,0.27734209302507223,0.011276003122329714,0.004526488780975342,0.007782994508743287
830,641.0460684299469,0.3968886738359288,0.011285316944122315,0.004530241489410401,0.0077016544342040985
840,643.6400337219238,0.2525153208844131,0.011269001960754395,0.004517064094543457,0.007650916576385498
